"Rank","Profile","Phase","Set","Window","Model","Family","ResearchTier","RationaleScore","RiskNote","CoverageNote","WhyThisRun","DecisionRule","ExpectedReportName","Config"
"1","baseline_promoted","phase1_fast_triage","stress","2024_Q1","2","baseline","Baseline anchor","61","normal","ok","Required comparison anchor for detecting data drift and candidate uplift.","Run as fast prune only; do not promote from this result.","profit_search_phase1_baseline_promoted_stress_2024_Q1","work\generated_profit_search\phase1_fast_triage\baseline_promoted\stress\baseline_promoted_2024_Q1.ini"
"12","tp42_sl18","phase1_fast_triage","stress","2025_Q3","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp42_sl18_stress_2025_Q3","work\generated_profit_search\phase1_fast_triage\tp42_sl18\stress\tp42_sl18_2025_Q3.ini"
"13","tp38_sl16","phase1_fast_triage","stress","2024_Q1","2","take_profit_stop","Evidence-backed upside","59","normal","ok","Matches the TP 3.8 / SL 1.6-1.8 thesis from existing zero-loss stress evidence.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp38_sl16_stress_2024_Q1","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2024_Q1.ini"
"14","tp38_sl16","phase1_fast_triage","stress","2024_Q3","2","take_profit_stop","Evidence-backed upside","59","normal","ok","Matches the TP 3.8 / SL 1.6-1.8 thesis from existing zero-loss stress evidence.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp38_sl16_stress_2024_Q3","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2024_Q3.ini"
"15","tp38_sl16","phase1_fast_triage","stress","2025_Q2","2","take_profit_stop","Evidence-backed upside","59","normal","ok","Matches the TP 3.8 / SL 1.6-1.8 thesis from existing zero-loss stress evidence.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp38_sl16_stress_2025_Q2","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2025_Q2.ini"
"16","tp38_sl16","phase1_fast_triage","stress","2025_Q3","2","take_profit_stop","Evidence-backed upside","59","normal","ok","Matches the TP 3.8 / SL 1.6-1.8 thesis from existing zero-loss stress evidence.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp38_sl16_stress_2025_Q3","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2025_Q3.ini"
"17","tp42_sl16","phase1_fast_triage","stress","2024_Q1","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp42_sl16_stress_2024_Q1","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2024_Q1.ini"
"18","tp42_sl16","phase1_fast_triage","stress","2024_Q3","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp42_sl16_stress_2024_Q3","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2024_Q3.ini"
"19","tp42_sl16","phase1_fast_triage","stress","2025_Q2","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp42_sl16_stress_2025_Q2","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2025_Q2.ini"
"20","tp42_sl16","phase1_fast_triage","stress","2025_Q3","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp42_sl16_stress_2025_Q3","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2025_Q3.ini"
"21","baseline_promoted","phase1_fast_triage","full","full","2","baseline","Baseline anchor","60","normal","ok","Required comparison anchor for detecting data drift and candidate uplift.","Run as fast prune only; do not promote from this result.","profit_search_phase1_baseline_promoted_full_full","work\generated_profit_search\phase1_fast_triage\baseline_promoted\full\baseline_promoted_full.ini"
"22","tp45_sl18","phase1_fast_triage","stress","2024_Q1","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp45_sl18_stress_2024_Q1","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2024_Q1.ini"
"23","tp45_sl18","phase1_fast_triage","stress","2024_Q3","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp45_sl18_stress_2024_Q3","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2024_Q3.ini"
"24","tp45_sl18","phase1_fast_triage","stress","2025_Q2","2","take_profit_stop","Adjacent upside","49","normal","ok","Nearby TP expansion around the current evidence-backed profit search.","Run as fast prune only; do not promote from this result.","profit_search_phase1_tp45_sl18_stress_2025_Q2","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2025_Q2.ini"
